,Car Name,Car Model,Model Year,Price,Registration Year,Fuel Type,Kms Driven(kms),Engine Displacement(cc),Transmission,Year of Manufacture,Mileage(kmpl),Steering Type,Top Speed(kmph)
0,Maruti,Maruti Celerio,2015.0,400000.0,2015.0,Petrol,120000.0,998.0,Manual,2015.0,23.1,Power,150.0
1,Ford,Ford Ecosport,2018.0,811000.0,2018.0,Petrol,32706.0,1497.0,Manual,2018.0,17.0,Power,182.0
2,Tata,Tata Tiago,2018.0,585000.0,2018.0,Petrol,11949.0,1199.0,Manual,2018.0,23.84,Power,150.0
3,Hyundai,Hyundai Xcent,2014.0,462000.0,2014.0,Petrol,17794.0,1197.0,Manual,2014.0,19.1,Power,172.0
4,Maruti,Maruti SX4 S Cross,2015.0,790000.0,2015.0,Diesel,60000.0,1248.0,Manual,2015.0,23.65,Power,190.0
5,Jeep,Jeep Compass,2020.0,1900000.0,2020.0,Diesel,20000.0,1956.0,Manual,2020.0,17.1,power,160.21
6,Datsun,Datsun GO,2017.0,345000.0,2017.0,Petrol,37772.0,1198.0,Manual,2017.0,20.63,Power,150.0
7,Hyundai,Hyundai Venue,2021.0,1200000.0,2021.0,Petrol,30000.0,998.0,Automatic,2021.0,18.15,Power,165.0
8,Maruti,Maruti Ciaz,2018.0,960000.0,2018.0,Petrol,37000.0,1462.0,Automatic,2018.0,20.28,Power,165.0
9,Tata,Tata Tiago,2017.0,585000.0,2018.0,Petrol,11949.0,1199.0,Manual,2017.0,23.84,Power,150.0
10,Maruti,Maruti Baleno,2018.0,690000.0,2018.0,Petrol,50000.0,1197.0,Manual,2018.0,21.4,Power,180.0
11,Hyundai,Hyundai Grand i10,2019.0,682000.0,2019.0,Petrol,24887.0,1197.0,Automatic,2019.0,18.9,Power,165.0
12,Honda,Honda Jazz,2018.0,825000.0,2018.0,Petrol,23000.0,1199.0,Automatic,2018.0,18.2,Power,172.0
13,Tata,Tata Tiago,2018.0,595000.0,2018.0,Petrol,48928.0,1199.0,Automatic,2018.0,23.84,Power,150.0
14,Mahindra,Mahindra XUV500,2014.0,690000.0,2014.0,Diesel,108862.0,2179.0,Manual,2014.0,15.1,Power,175.0
15,Jeep,Jeep Compass,2018.0,1350000.0,2018.0,Diesel,80000.0,1956.0,Manual,2018.0,17.1,Power,160.21
16,Mercedes-Benz,Mercedes-Benz GLA,2022.0,5595000.0,2022.0,Diesel,16000.0,1950.0,Automatic,2022.0,17.9,Power,219.0
17,Hyundai,Hyundai i20,2014.0,521000.0,2014.0,Diesel,65376.0,1396.0,Manual,2014.0,21.27,Power,180.0
18,Tata,Tata Nexon,2022.0,1005000.0000000001,2022.0,Petrol,10000.0,1199.0,Manual,2022.0,17.33,Electric,121.92
19,Honda,Honda City,2016.0,775000.0,2016.0,Petrol,67000.0,1497.0,Manual,2016.0,17.8,Power,195.0
20,BMW,BMW 5 Series,2011.0,2200000.0,2011.0,Diesel,100000.0,1995.0,Automatic,2011.0,18.48,Power,226.0
21,Maruti,Maruti Swift,2016.0,582000.0,2016.0,Petrol,18083.0,1197.0,Manual,2016.0,22.38,Electric,160.0
22,Renault,Renault Duster,2020.0,1090000.0,2020.0,Petrol,30000.0,1498.0,Manual,2020.0,16.42,Power,160.0
23,Tata,Tata Tiago,2016.0,457000.0,2016.0,Petrol,57634.0,1199.0,Manual,2016.0,23.84,Power,150.0
24,Mercedes-Benz,Mercedes-Benz S-Class,2016.0,4900000.0,2016.0,Petrol,50000.0,4663.0,Automatic,2016.0,7.81,Power,250.0
25,Honda,Honda City,2015.0,550000.0,2015.0,Petrol,110000.0,1497.0,Manual,2015.0,17.4,Power,195.0
